usog_01GW2HHHJ24AEGCKRWGJBM40VH,Ally,identity-ally,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2SW75W5HN05XSYPBD,Asexual,identity-asexual,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ20BNN1QNFSKCFZJY0,Bisexual,identity-bisexual,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2B12W0TQJK6C40QVC,Gay,identity-gay,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ21DDB2R0D19R7M7JH,Intersex,identity-intersex,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2QDQXKF5NP5RS5Y39,Lesbian,identity-lesbian,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ23WPP795Y15Q870KV,Man,identity-man,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2Z9CG508G0Y7DYPGE,Nonbinary,identity-nonbinary,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2DHFBR3CMFMCYH0K5,Pansexual,identity-pansexual,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2WQZ68B82GX495XF8,Queer,identity-queer,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ2HH62GFVMWJCSA4XT,Questioning,identity-questioning,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ37AW3SB0Y8BDGQF8N,Straight,identity-straight,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ3PQQ2XHK0AGDWCFJB,Transgender,identity-transgender,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
usog_01GW2HHHJ3N748VNX751AY4KPE,Woman,identity-woman,user,2023-03-21 16:55:22.436,2023-03-21 16:55:22.436,t
